gene_id,housekeeping_genes,high_corr,low_CV_rank,high_CV_rank,high_feature,tRNA_related,rRNA_ribosome,high_feature_2
ENSG00000048707.12,0,0,1,0,0,0,0,0
ENSG00000048828.15,1,0,1,0,0,1,0,0
ENSG00000048991.15,0,0,0,0,1,1,0,0
ENSG00000049167.12,0,0,0,0,1,1,0,0
ENSG00000049239.11,0,0,1,0,0,0,0,0
ENSG00000049245.11,1,0,1,0,0,0,0,1
ENSG00000049247.12,0,0,0,1,0,0,0,0
ENSG00000049249.7,0,1,0,0,0,0,0,0
ENSG00000049449.7,0,0,1,0,1,1,0,0
ENSG00000049541.9,1,0,0,0,1,0,1,0
ENSG00000049618.20,0,0,1,0,0,0,0,0
ENSG00000049656.12,1,0,1,0,0,0,0,0
ENSG00000049759.15,0,0,0,0,0,0,1,0
ENSG00000049769.11,0,1,0,0,0,0,0,0
ENSG00000049860.12,0,1,1,0,0,1,0,0
ENSG00000049883.13,0,0,0,0,1,0,0,0
ENSG00000050130.16,1,0,1,0,0,0,0,0
ENSG00000050344.8,0,1,0,0,0,0,0,0
ENSG00000050405.12,0,1,0,0,0,0,0,0
ENSG00000050426.14,1,1,1,0,0,0,1,0
ENSG00000050730.14,0,1,0,0,0,0,0,0
ENSG00000050748.16,1,0,1,0,1,0,1,0
ENSG00000050820.15,0,0,0,0,1,0,0,0
ENSG00000051108.13,1,0,1,0,0,0,1,1
ENSG00000051128.17,0,0,0,0,1,0,0,0
ENSG00000051180.15,0,1,0,0,0,0,1,0
ENSG00000051341.12,0,1,0,0,0,0,0,0
ENSG00000051382.7,1,0,0,0,0,0,0,0
ENSG00000051523.9,0,0,0,0,0,1,0,0
ENSG00000051596.8,0,0,0,0,1,0,0,0
ENSG00000051825.13,0,1,0,0,1,1,0,0
ENSG00000052723.10,1,0,0,0,1,0,0,0
ENSG00000052749.12,0,0,0,0,0,0,1,0
ENSG00000052802.11,0,0,0,0,0,1,1,0
ENSG00000052841.13,1,0,1,0,0,0,0,0
ENSG00000052850.5,0,0,0,1,0,0,0,1
ENSG00000053254.14,0,0,0,0,0,0,1,0
ENSG00000053371.11,1,0,0,0,0,0,0,1
ENSG00000053372.4,1,0,0,0,1,0,1,0
ENSG00000053501.11,1,1,0,0,1,0,0,0
ENSG00000053747.14,0,0,0,0,0,0,1,0
ENSG00000053770.10,1,0,1,0,0,0,0,0
ENSG00000053900.9,0,0,0,0,1,0,0,0
ENSG00000054116.10,1,0,1,0,0,0,0,0
ENSG00000054118.12,1,1,1,0,0,0,0,0
ENSG00000054148.16,1,1,0,0,0,0,0,1
ENSG00000054219.10,0,0,0,0,0,1,0,0
ENSG00000054267.19,0,0,0,0,1,0,1,0
ENSG00000054277.11,0,1,0,0,0,0,0,0
ENSG00000054282.14,1,0,0,0,0,0,0,0
ENSG00000054356.12,0,0,0,1,0,0,0,1
ENSG00000054523.15,0,0,1,0,0,0,0,0
ENSG00000054611.12,1,0,0,0,0,0,0,0
ENSG00000054654.14,0,0,1,0,1,0,0,0
ENSG00000054803.3,0,0,0,1,0,0,0,1
ENSG00000054938.14,0,0,0,1,0,0,0,0
ENSG00000054965.9,0,0,1,0,0,0,0,0
ENSG00000054967.11,0,1,0,0,1,0,0,0
ENSG00000055044.9,1,0,1,0,1,0,1,0
ENSG00000055070.15,1,0,1,0,0,0,0,0
ENSG00000055118.13,0,0,0,0,0,1,0,0
ENSG00000055130.14,1,0,1,0,0,0,0,0
ENSG00000055147.16,1,0,0,0,1,0,0,0
ENSG00000055163.17,0,1,0,0,0,0,0,0
ENSG00000055208.16,1,0,1,0,0,0,0,0
ENSG00000055211.11,1,0,0,0,1,0,0,0
ENSG00000055332.15,0,1,1,0,0,1,0,0
ENSG00000055483.18,0,0,1,0,0,0,1,0
