gene_id,ig_rank,saliency_rank,gbp_rank,gs_rank
ENSG00000122705.15,843.7855581,15.41821028,15.41821028,47.26939334
ENSG00000122741.14,695.7438494,15.41467399,15.41467399,49.72473736
ENSG00000079950.12,743.5960456,15.4108909,15.4108909,50.95389105
ENSG00000108829.9,842.9717386,15.4090365,15.4090365,59.74045084
ENSG00000162399.6,157.1101326,15.40859943,15.40859943,147.1896399
ENSG00000176842.13,518.9159533,15.40598245,15.40598245,187.2893724
ENSG00000148229.11,779.7726077,15.40196518,15.40196518,56.3154545
ENSG00000055208.16,702.6056759,15.39432672,15.39432672,46.50096542
ENSG00000135387.18,868.57996,15.39414027,15.39414027,57.11037816
ENSG00000124299.12,805.2417913,15.39225894,15.39225894,48.08541901
ENSG00000118271.8,342.6888655,15.3913982,15.3913982,324.7175397
ENSG00000138798.10,521.9465619,15.39087129,15.39087129,214.1075167
ENSG00000106367.12,850.0944862,15.38970227,15.38970227,60.18265369
ENSG00000138190.15,494.9282398,15.38598675,15.38598675,43.74258652
ENSG00000117450.12,864.4352735,15.38528832,15.38528832,57.02334467
ENSG00000142552.6,711.5871708,15.3852283,15.3852283,96.98818553
ENSG00000089597.15,892.8525776,15.38266181,15.38266181,49.76119966
ENSG00000248099.3,417.4890696,15.38177235,15.38177235,174.5711419
ENSG00000186862.16,480.7943313,15.37943513,15.37943513,96.67941009
ENSG00000182575.7,578.2443397,15.37913538,15.37913538,149.5855399
ENSG00000135119.13,558.1158248,15.37907501,15.37907501,98.67516882
ENSG00000113328.17,794.837916,15.37879579,15.37879579,57.84447991
ENSG00000169876.12,241.24735,15.37666971,15.37666971,283.1785772
ENSG00000138942.14,727.798164,15.37536343,15.37536343,44.32844965
ENSG00000176715.14,698.6045919,15.37332245,15.37332245,43.3144763
ENSG00000265190.5,387.4158436,15.36940182,15.36940182,290.0957256
ENSG00000100288.18,480.8611392,15.36702693,15.36702693,52.94054122
ENSG00000177628.14,717.789085,15.36693422,15.36693422,48.33344596
ENSG00000103569.8,570.4459938,15.36585876,15.36585876,187.8561116
ENSG00000128245.13,790.6612625,15.36425838,15.36425838,50.78326722
ENSG00000130164.10,889.0130429,15.36267665,15.36267665,122.4427258
ENSG00000185670.7,577.8158058,15.36172947,15.36172947,46.16333495
ENSG00000204084.11,660.8512229,15.36172816,15.36172816,52.45587976
ENSG00000080986.11,552.8204639,15.35918691,15.35918691,103.2523674
